,0
1857,9.75
1858,2.5
1859,11.5
1860,25.25
1861,16.0
1862,49.5
1863,7.5
1864,18.25
1865,35.5
1866,23.0
1867,8.75
1868,16.75
1869,0.0
1870,13.75
1871,17.5
1872,7.5
1873,10.5
1874,24.0
1875,8.5
1876,11.25
1877,11.5
1878,14.75
1879,23.5
1880,29.75
1881,14.0
1882,26.25
1883,9.0
1884,24.0
1885,10.75
1886,3.75
1887,12.0
1888,20.25
1889,35.25
1890,7.5
1891,8.0
1892,15.0
1893,23.25
1894,-0.5
1895,12.75
1896,16.25
1897,16.0
1898,19.5
1899,5.0
1900,25.25
1901,2.0
1902,6.25
1903,23.5
1904,11.75
1905,9.5
1906,14.0
1907,16.25
1908,31.25
1909,33.0
1910,14.0
1911,17.5
1912,16.0
1913,12.75
1914,35.25
1915,20.75
1916,36.5
1917,32.25
1918,7.75
1919,47.25
1920,3.0
1921,41.5
1922,0.0
1923,18.5
1924,19.75
1925,-0.5
1926,5.25
1927,8.5
1928,11.5
1929,29.5
1930,40.75
1931,14.75
1932,14.25
1933,24.0
1934,2.0
1935,3.5
1936,10.75
1937,9.0
1938,39.75
1939,34.75
1940,4.75
1941,23.25
1942,20.5
1943,39.25
1944,0.0
1945,37.25
1946,9.75
1947,16.5
1948,25.25
1949,33.75
1950,51.75
1951,7.5
1952,18.5
1953,26.0
1954,1.25
1955,15.75
1956,17.75
1957,7.5
1958,10.5
1959,39.25
1960,62.5
1961,13.25
1962,27.25
1963,24.25
1964,14.25
1965,52.25
1966,23.0
1967,28.5
1968,18.0
1969,56.75
1970,22.75
1971,21.75
1972,10.0
1973,3.5
1974,20.5
1975,12.5
1976,19.5
1977,30.5
1978,33.5
1979,36.75
1980,2.75
1981,7.5
1982,14.75
1983,2.0
1984,22.25
1985,6.75
1986,27.25
1987,18.5
1988,31.75
1989,11.5
1990,7.75
1991,2.25
1992,56.25
1993,13.25
1994,24.25
1995,13.0
1996,16.25
1997,16.5
1998,9.75
1999,15.75
2000,2.0
2001,30.0
2002,21.5
2003,30.0
2004,14.25
2005,18.0
2006,23.0
2007,4.75
2008,8.75
2009,38.0
2010,29.75
2011,30.75
2012,38.5
2013,15.5
2014,28.0
2015,8.5
2016,29.25
2017,25.0
2018,7.25
2019,3.25
2020,6.5
2021,30.25
2022,21.25
2023,22.0
2024,14.0
2025,47.0
2026,26.5
2027,33.75
2028,21.25
2029,5.5
2030,35.5
